Country,City,UpdateTimeUTC,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,UpdateTimeUTCWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,MinsDelay
IND,bangalore,16:30.0,597.7,41,80.2,184,38,16:30.0,30.91425894,30.75465059,0.159608348
IND,bangalore,16:30.0,540.5,38,66.1,163,31,31:30.0,30.23822964,29.36893337,0.869296274
IND,bangalore,16:30.0,525.9,35,60.1,154,31,16:30.0,29.64126166,28.2171744,1.424087259
IND,bangalore,31:30.0,362.8,30,44.6,107,31,16:30.0,28.40203717,27.42594039,0.976096781
IND,bangalore,01:30.0,445.1,29,45.2,121,31,31:30.0,28.16687917,27.21009508,0.956784096
IND,bangalore,31:30.0,395.5,32,51.2,129,35,31:30.0,28.07274463,27.29317967,0.779564952
IND,bangalore,31:30.0,469.2,35,59.2,141,34,16:30.0,29.89764649,28.47181271,1.425833781
IND,bangalore,16:30.0,577.9,35,73.1,163,28,16:30.0,29.8515799,28.35829304,1.493286867
IND,bangalore,01:30.0,444.3,32,58,136,23,16:30.0,29.09244844,28.28346361,0.808984831
IND,bangalore,16:30.0,395,29,50.2,111,17,16:30.0,28.31299767,27.75605518,0.556942486
IND,bangalore,16:30.0,171.3,18,20.2,58,9,16:30.0,25.64500204,25.57367923,0.071322807
IND,bangalore,16:30.0,37.6,5,4.9,15,2,16:30.0,22.40229797,22.4415478,-0.039249834
IND,bangalore,31:30.0,33.1,0,2.4,9,2,16:30.0,20.5479997,20.28202636,0.265973346
IND,bangalore,31:30.0,49.2,0,9.3,15,0,31:30.0,19.03666875,18.52129633,0.515372426
IND,bangalore,31:30.0,0,0,0,0,0,31:30.0,17.35298062,17.09471069,0.258269935
IND,bangalore,31:30.0,0,0,0,0,0,31:30.0,16.59363223,16.32590976,0.267722473
IND,bangalore,31:30.0,0.7,0,1.7,1,0,31:30.0,16.49136295,16.27251703,0.218845923
IND,bangalore,31:30.0,7.9,0,0.8,4,0,31:30.0,17.38977718,16.94551468,0.444262496
IND,bangalore,31:30.0,7.5,0,5.6,5,0,31:30.0,18.44635217,17.83304063,0.613311533
